Gigabyte H410M H V3 Ultra Durable,Micro,DDR4,2,Gen3,1,0,0,2,1x 1Gb/s,Intel 500 Series,LGA 1200,77.75
Gigabyte B450M DS3H V2 Micro ATX AM4,Micro,DDR4,2,Gen3,0,0,0,1,1x 1Gb/s,B450,AM4,58.49
Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,ATX,DDR4,4,Gen3,2,0,0,2,1x 1Gb/s,X570,AM4,193.95
ASUS ROG Strix B660-F Gaming WiFi,ATX,DDR5,4,Gen4,1,0,1,2,1x 2.5Gb/s,Intel 600 Series,LGA 1700,281.30
MSI 970 Gaming,ATX,DDR3,4,Gen2,2,0,0,2,1x 1Gb/s,AMD 900+ Series,AM3+,189.99
GA-P85-Gaming 3,ATX,DDR3,4,Gen 3,1,0,0,2,1x 1Gb/s,Intel 300 Series,LGA 1150,126.54
